"typ","kml","vater","mutter","hskfg","hskfg2","schlupf","genera","mort","EN1","EN2","EN3","EN4","EN5","EN6","EN7","EN8","EN9","EN10","EN11","EN12","EN13","BW32","EW30","EW40","EW50","EW70","Gruppe"
11,4610005,4415795,4418568,821706,721070,2,46,NA,5,27,27,25,27,28,27,28,NA,28,26,28,26,1645,54,58.8,NA,55.6,"M_BC1"
11,4610123,4420645,4420362,821759,721075,2,46,NA,0,12,28,27,26,28,27,28,NA,27,28,27,28,1639,NA,60.2,NA,54.1,"M_BC1"
11,4610244,4421447,4418750,821707,721071,2,46,NA,13,26,28,28,26,27,28,25,NA,24,24,21,24,1669,58.5,66.9,NA,69.6,"M_BC1"
11,4610590,4420517,4422988,821742,721074,2,46,NA,5,28,27,28,28,25,28,28,NA,28,28,28,28,1750,56.3,64.1,NA,64.1,"M_BC1"
11,4610630,4417167,4423176,821795,721076,2,46,NA,18,27,26,16,26,28,28,26,NA,28,28,28,28,1677,48.7,54.4,NA,54.4,"M_BC1"
11,4610863,4416962,4421651,821710,721072,2,46,NA,4,26,27,26,27,28,27,25,NA,28,27,28,27,1276,50.9,60.1,NA,57.2,"M_BC1"
11,4611214,4411552,4413044,821800,721077,2,46,NA,19,28,27,27,26,28,28,27,NA,28,28,24,25,1738,53.6,61,NA,62.1,"M_BC1"
11,4611712,4412721,4410922,821718,721073,2,46,NA,0,27,26,27,28,25,27,28,NA,25,28,25,25,1614,54.9,68.2,NA,65.2,"M_BC1"
11,4611932,4415795,4418969,721007,721000,3,46,NA,1,24,27,27,27,27,21,27,NA,28,25,26,28,1419,52.1,57.8,NA,60.2,"M_BC1"
11,4611962,4419927,4416792,722043,721032,3,46,NA,6,28,27,28,28,28,28,27,NA,28,28,27,25,1708,59.8,64.4,NA,67.5,"M_BC1"
11,4611986,4416588,4419853,721224,721016,3,46,NA,1,28,25,28,28,27,28,28,NA,28,27,27,28,1759,55.4,NA,NA,62.4,"M_BC1"
11,4612004,4420651,4419857,722210,721047,3,46,11,0,21,28,28,28,27,27,26,NA,1,0,1,0,2031,60.3,66.2,NA,NA,"M_BC1"
11,4612005,4420651,4419857,821634,721066,3,46,NA,0,21,26,27,27,28,27,28,NA,28,28,28,28,1554,49.6,61.8,NA,66.4,"M_BC1"
11,4612020,4417728,4417200,721023,721005,3,46,NA,0,27,26,27,27,28,27,28,NA,27,28,21,19,1468,52.1,59.3,NA,59.6,"M_BC1"
11,4612030,4417728,4422199,722039,721030,3,46,NA,0,24,28,28,28,28,27,26,NA,9,28,27,24,1597,53.8,60.2,NA,62,"M_BC1"
11,4612044,4416797,4418364,721060,721008,3,46,NA,0,19,26,28,26,27,28,26,NA,27,27,23,25,1714,54.9,66.7,NA,63.8,"M_BC1"
11,4612061,4420645,4419876,722206,721045,3,46,NA,15,27,27,28,28,26,28,27,NA,27,28,28,28,1552,50.7,51.5,NA,56,"M_BC1"
11,4612070,4420645,4420377,722046,721033,3,46,NA,0,22,28,28,28,25,28,27,NA,28,25,27,28,1670,58.3,64.3,NA,63.5,"M_BC1"
11,4612089,4415778,4420364,721252,721017,3,46,NA,5,25,26,27,27,27,27,26,NA,25,26,27,28,1652,61.2,69.6,NA,70.3,"M_BC1"
11,4612152,4415991,4420787,722053,721036,3,46,NA,0,25,28,28,28,28,28,28,NA,28,27,27,26,1837,57.7,65.5,NA,63.1,"M_BC1"
11,4612183,4415963,4416983,721057,721007,3,46,NA,0,17,27,27,27,27,27,24,NA,26,21,21,21,1719,52.8,60,NA,61.6,"M_BC1"
11,4612243,4420664,4416349,722275,721061,3,46,NA,0,14,28,28,28,28,28,28,NA,28,28,28,27,1840,58.1,68.4,NA,65.6,"M_BC1"
11,4612253,4415994,4418857,722050,721035,3,46,NA,0,23,27,28,28,27,28,27,NA,27,27,27,27,1696,55,59.2,NA,63.3,"M_BC1"
11,4612260,4415994,4420638,722216,721051,3,46,NA,0,23,28,27,27,26,28,26,NA,27,26,26,28,1691,57.2,59.6,NA,60.5,"M_BC1"
11,4612263,4415994,4421649,721031,721006,3,46,NA,0,14,28,28,28,28,28,28,NA,28,28,28,28,1691,52.2,62.2,NA,57.2,"M_BC1"
11,4612296,4420514,4422989,722047,721034,3,46,NA,0,14,28,28,27,28,28,28,NA,28,27,28,28,1816,64.5,65.9,NA,64.2,"M_BC1"
11,4612444,4420517,4419925,722033,721028,3,46,NA,0,20,28,28,28,28,27,25,NA,25,27,23,22,1614,54.7,60.3,NA,59.5,"M_BC1"
11,4612447,4420517,4420378,721207,721012,3,46,NA,0,15,25,28,28,28,28,28,NA,28,28,28,28,1693,49.7,66.3,NA,62.5,"M_BC1"
11,4612472,4417167,4418251,722276,721062,3,46,NA,3,20,26,28,25,27,28,28,NA,28,28,28,26,1664,56.2,62.3,NA,58.1,"M_BC1"
11,4612473,4417167,4418251,721204,721011,3,46,10,16,28,27,28,28,28,28,17,NA,0,0,0,0,1915,49.8,55.2,NA,NA,"M_BC1"
11,4612481,4417167,4423202,722060,721038,3,46,NA,2,25,28,28,26,27,28,28,NA,28,27,28,27,1707,60.7,57.8,NA,66.4,"M_BC1"
11,4612499,4416026,4421652,721260,721018,3,46,NA,0,18,27,27,28,27,28,28,NA,28,27,27,27,1485,56.6,62.7,NA,61.1,"M_BC1"
11,4612512,4418054,4419795,722274,721060,3,46,NA,1,26,28,27,28,26,28,28,NA,27,27,28,27,1751,56.3,51.9,NA,62.6,"M_BC1"
11,4612545,4421525,4419947,721019,721004,3,46,NA,0,19,28,28,28,27,28,28,NA,27,28,27,28,1531,52.7,61,NA,59.7,"M_BC1"
11,4612555,4421525,4421712,722065,721039,3,46,10,0,23,27,27,28,28,28,24,NA,0,0,0,0,1703,56.2,64.6,NA,NA,"M_BC1"
11,4612573,4420789,4415990,722233,721054,3,46,NA,5,22,28,28,28,27,27,28,NA,27,27,25,28,1707,57,59.4,NA,60.4,"M_BC1"
11,4612581,4420789,4418307,821652,721067,3,46,NA,0,25,27,28,28,25,27,25,NA,25,25,24,24,1537,53.9,58,NA,66.6,"M_BC1"
11,4612599,4415988,4417144,721211,721013,3,46,NA,0,12,28,28,27,28,28,26,NA,28,27,28,28,1629,56,62.5,NA,68.2,"M_BC1"
11,4612610,4415988,4421476,722059,721037,3,46,NA,4,26,27,28,28,28,27,27,NA,27,25,28,25,2043,55.3,59.1,NA,59.2,"M_BC1"
11,4612634,4416730,4418252,722251,721058,3,46,NA,0,14,27,28,27,28,28,28,NA,28,28,28,28,1930,61.2,69.2,NA,62.7,"M_BC1"
11,4612694,4416996,4415794,721214,721014,3,46,NA,0,20,28,28,28,28,28,26,NA,26,26,28,27,1731,55.2,58.5,NA,59.2,"M_BC1"
11,4612771,4316384,4322943,721215,721015,3,46,NA,0,22,26,27,28,26,28,26,NA,28,28,27,28,1622,52.3,55.8,NA,55.9,"M_BC1"
11,4612789,4316181,4319045,722025,721025,3,46,NA,0,27,28,27,28,28,28,27,NA,25,28,26,27,1787,54.3,59.1,NA,63.8,"M_BC1"
11,4612792,4316181,4322777,722020,721024,3,46,NA,0,22,28,28,27,26,28,26,NA,28,25,28,28,1655,55.8,59.2,NA,62.9,"M_BC1"
11,4612806,4316174,4322925,722026,721026,3,46,NA,0,24,28,28,28,28,28,27,NA,27,27,26,26,1768,58.9,66.1,NA,70.8,"M_BC1"
11,4612838,4410400,4411527,721069,721009,3,46,10,0,17,28,27,27,28,28,27,NA,4,0,2,0,1799,56.1,60.2,NA,NA,"M_BC1"
11,4612839,4410400,4411527,821595,721064,3,46,NA,0,15,26,28,28,26,27,27,NA,27,28,26,26,1683,47.3,56.1,NA,61.7,"M_BC1"
11,4612968,4411523,4411572,722042,721031,3,46,NA,0,24,28,27,28,27,25,25,NA,27,27,28,28,1522,53.8,63.2,NA,61.8,"M_BC1"
11,4612969,4411523,4413015,722002,721020,3,46,NA,0,19,26,25,28,27,28,25,NA,26,25,25,25,1839,60.6,63.7,NA,64.6,"M_BC1"
11,4613005,4311783,4411901,722220,721052,3,46,NA,17,26,25,28,28,28,28,27,NA,26,26,27,25,1714,58.4,58.6,NA,59.1,"M_BC1"
