snp,single
SNP1,1000001
SNP2,1000002
SNP3,1000003
SNP4,1000004
SNP5,1000005
SNP6,1000006
SNP7,1000007
SNP8,1000008
SNP9,1000009
SNP10,1000010
SNP11,1000011
SNP12,1000012
SNP13,1000013
SNP14,1000014
SNP15,1000015
SNP16,1000016
SNP17,1000017
SNP18,1000018
SNP19,1000019
SNP20,1000020
SNP21,1000021
SNP22,1000022
SNP23,1000023
SNP24,1000024
SNP25,1000025
SNP26,1000026
SNP27,1000027
SNP28,1000028
SNP29,1000029
SNP30,1000030
SNP31,1000031
SNP32,1000032
SNP33,1000033
SNP34,1000034
SNP35,1000035
SNP36,1000036
SNP37,1000037
SNP38,1000038
SNP39,1000039
SNP40,1000040
SNP41,1000041
SNP42,1000042
SNP43,1000043
SNP44,1000044
SNP45,1000045
SNP46,1000046
SNP47,1000047
SNP48,1000048
SNP49,1000049
SNP50,1000050
SNP51,1000051
SNP52,1000052
SNP53,1000053
SNP54,1000054
SNP55,1000055
SNP56,1000056
SNP57,1000057
SNP58,1000058
SNP59,1000059
SNP60,1000060
SNP61,1000061
SNP62,1000062
SNP63,1000063
SNP64,1000064
SNP65,1000065
SNP66,1000066
SNP67,1000067
SNP68,1000068
SNP69,1000069
SNP70,1000070
SNP71,1000071
SNP72,1000072
SNP73,1000073
SNP74,1000074
SNP75,1000075
SNP76,1000076
SNP77,1000077
SNP78,1000078
SNP79,1000079
SNP80,1000080
SNP81,1000081
SNP82,1000082
SNP83,1000083
SNP84,1000084
SNP85,1000085
SNP86,1000086
SNP87,1000087
SNP88,1000088
SNP89,1000089
SNP90,1000090
SNP91,1000091
SNP92,1000092
SNP93,1000093
SNP94,1000094
SNP95,1000095
SNP96,1000096
SNP97,1000097
SNP98,1000098
SNP99,1000099
SNP100,1000100
SNP101,1000101
SNP102,1000102
SNP103,1000103
SNP104,1000104
SNP105,1000105
SNP106,1000106
SNP107,1000107
SNP108,1000108
SNP109,1000109
SNP110,1000110
SNP111,1000111
SNP112,1000112
SNP113,1000113
SNP114,1000114
SNP115,1000115
SNP116,1000116
SNP117,1000117
SNP118,1000118
SNP119,1000119
SNP120,1000120
SNP121,1000121
SNP122,1000122
SNP123,1000123
SNP124,1000124
SNP125,1000125
SNP126,1000126
SNP127,1000127
SNP128,1000128
SNP129,1000129
SNP130,1000130
SNP131,1000131
SNP132,1000132
SNP133,1000133
SNP134,1000134
SNP135,1000135
SNP136,1000136
SNP137,1000137
SNP138,1000138
SNP139,1000139
SNP140,1000140
SNP141,1000141
SNP142,1000142
SNP143,1000143
SNP144,1000144
SNP145,1000145
SNP146,1000146
SNP147,1000147
SNP148,1000148
SNP149,1000149
SNP150,1000150
SNP151,1000151
SNP152,1000152
SNP153,1000153
SNP154,1000154
SNP155,1000155
SNP156,1000156
SNP157,1000157
SNP158,1000158
SNP159,1000159
SNP160,1000160
SNP161,1000161
SNP162,1000162
SNP163,1000163
SNP164,1000164
SNP165,1000165
SNP166,1000166
SNP167,1000167
SNP168,1000168
SNP169,1000169
SNP170,1000170
SNP171,1000171
SNP172,1000172
SNP173,1000173
SNP174,1000174
SNP175,1000175
SNP176,1000176
SNP177,1000177
SNP178,1000178
SNP179,1000179
SNP180,1000180
SNP181,1000181
SNP182,1000182
SNP183,1000183
SNP184,1000184
SNP185,1000185
SNP186,1000186
SNP187,1000187
SNP188,1000188
